baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name
606.070694306093,0.961666104731787,0.181875032012706,5.28751029808536,0.000000123992382815854,0.000151208710843934,Nhlrc2
4554.61686742151,0.626949557243453,0.142404289920143,4.40260302266901,0.0000106959771084346,0.00372678402392456,Kyat3
15569.221583947,-0.896134318590753,0.244301314974946,-3.66815184225536,0.000244310085218704,0.0425623069891728,Ces3a
1037.86277899853,-1.17566456795809,0.326202633357666,-3.60409281757402,0.000313245107865712,0.0466776410864654,Fabp5
4578.56103265241,0.873033795369992,0.189168503607271,4.61511181154384,0.00000392883741539835,0.00159707240935943,Fmo3
624.479206561258,-1.33856106816712,0.366922552461529,-3.64807521147795,0.000264212300854861,0.0429609201190003,Ifit1
1440.38842026832,0.899926592922712,0.168364447213317,5.34511060866971,0.0000000903618565577133,0.000151208710843934,Sgk2
3531.66817371228,1.2362386011857,0.25869589629016,4.77873294054538,0.00000176403311909612,0.000860495355495088,Acot4
1704.11869623766,0.763575693416488,0.198084463106003,3.85479851091535,0.000115824981138078,0.0217305483842903,2900026A02Rik
1880.77530523115,1.38437324741524,0.350301666022092,3.95194594172423,0.0000775182543296699,0.0171879111190968,Gstt2
614.543416571271,0.540593112840169,0.140002280885629,3.86131646870662,0.000112777712041266,0.0217305483842903,Arrdc4
784.184801296092,0.658764947067305,0.163394253415289,4.03175101509209,0.0000553628230003539,0.0135029925297863,Stbd1
2211.98535566877,2.11123710971137,0.407625351304912,5.17935673763363,0.000000222652326385538,0.000181016341351442,Acot3
507.65261560599,-1.50141968106729,0.357690820123369,-4.19753484461649,0.0000269836150076316,0.00822662962545169,Isg15
1196.09108859808,-0.615078962129059,0.172399664564884,-3.56775034151862,0.000360059319511842,0.0487880377938546,Ddc
4759.48133921524,-0.535508154172569,0.151505369719351,-3.53458200963139,0.000408420673597415,0.0498069011452047,Agpat2
493.527056151866,3.63405149439945,0.736163666585133,4.93647222669497,0.000000795483596056273,0.000485046122695313,Per3
681.795621201166,0.895645728518749,0.249189547284589,3.59423474330515,0.000325346411836782,0.0466776410864654,Hsph1
707.225301543985,0.745236273451848,0.210543907990264,3.53957652142711,0.0004007695639142,0.0498069011452047,Ak4
